AYPR01000038.52.1523,GU305803.1.1484,FJ484550.1.1355,EU801039.1.1483,HM856413.1.1459,HM346776.1.1224,KF596564.1.1479,DQ316371.1.1498,GU305765.1.1485,FN668354.1.1476,AY466490.1.1213,FJ827858.1.1495,GQ390228.1.1437,GQ390219.1.1456,FR823005.1.1439,JF715448.1.1336,HQ178716.1.1411,HE998782.1.1417,GU305853.1.1450,JN869113.1.1505,GQ130121.1.1426,KC620753.1.1476,EU801876.1.1485,HE574374.1.1795,AJ536838.1.1378,HM263347.1.1344,FJ612159.1.1423,JN232894.1.1452,U85190.1.1261,HM856568.1.1440,FN668259.1.1474,HQ111526.1.1402,GU134623.1.1403,AB661551.1.1458,FQ658932.1.1312,GU305742.1.1480,HM326201.1.1345,EF520595.1.1473,EU800831.1.1486,EU800121.1.1312,DQ521525.1.1438,EF520410.1.1418,KP866212.1.1451,EU234319.1.1490,FR772057.1.1466,GU295969.1.1408,FN668271.1.1326,GQ099813.1.1347,GU305850.1.1452,JX304649.1.1325,EU801647.1.1478,GU127276.1.1220,AF361205.1.1491,JX521426.1.1486,FJ820388.1.1423,JF733429.1.1501,HM856394.1.1444,HK555864.1.1483,HQ856435.1.1447,JF697432.1.1492,FN668214.1.1474,AY921960.1.1345,EU703338.1.1342,GQ402766.1.1408,HM129636.1.1445,HK556560.1.1527,FQ658568.1.1343,GU305760.1.1474,JX114362.1.1470,HM638233.1.1390,GQ870455.1.1457,JX521044.1.1482,FN668262.1.1467,JN869032.1.1484,FJ947138.1.1499,HE583160.1.1379,JF697392.1.1466,GQ500892.1.1448,HM856482.1.1436,FN668098.1.1488,HM128425.1.1438,AM230494.1.1503,EF520552.1.1465,FN668308.1.1471,KF441562.1.1494,FN421512.1.1361,FM204983.1.1452,FJ946569.1.1290,FJ820482.1.1477,JN869123.1.1501,JQ905994.1.1345,KF064814.1.1344,GU305706.1.1485,HM128717.1.1432,HQ532656.1.1513,GQ500814.1.1436,HQ219919.1.1407,AF418961.1.1506,EU117811.1.1506,HM128417.1.1455,FN668139.1.1473,AY752128.1.1414,DQ316384.1.1482,KM035956.1.1424,KX163603.1.1375,JN866584.1.1771,GU120578.1.1440,HM127377.1.1441,GU472712.1.1450,JN656723.1.1490,HG423553.1.1283,AY168735.1.1306,HE574392.1.1305,GU293203.1.1475,FJ502260.1.1488,FN668038.1.1504,HM126781.1.1455,HM446104.1.1450,GU305721.1.1496,FQ659763.1.1283,FN668126.1.1484,KF827012.1.1400,JF139490.1.1343,GU293187.1.1498,GQ340074.1.1468,KU514515.1.1475,HQ178852.1.1434,JF501055.1.1349,EF471629.1.1438,CU918585.1.1306,GDHX01215817.4.1477,ANFY01000003.289752.291219,JN868831.1.1479,AB930558.1.1451,HM856480.1.1443,FJ382059.1.1209,KP745046.1.1444,FJ612200.1.1491,HM129427.1.1440,FN668181.1.1494,FN668106.1.1476,GQ396960.1.1456,EU703418.1.1485,JX222852.1.1443,GU127206.1.1228,JN626727.1.1334,FN668303.1.1462,HQ856333.1.1472,HM129375.1.1455,FJ820479.1.1477,AB753922.1.1459,GQ263306.1.1429,FJ950694.1.1472,HM856412.1.1437,FJ572664.1.1483,EU117671.1.1506,JN035169.1.1231,GQ263344.1.1456,AB806518.1.1446,EU703408.1.1480,AB690722.1.1296,FJ592644.1.1224,HM069053.1.1447,AUSH02000015.468.1961,AF529117.1.1420,AF493635.1.1300,HE589843.1.1459,GQ397014.1.1469,HM129561.1.1443,FN668191.1.1477,GQ389095.1.1445,FN824908.1.1282,HM129595.1.1447,FJ382196.1.1372,GQ144413.1.1379,EU937955.1.1474,HM129796.1.1447,KM105805.1.1457,HM128919.1.1456,HM129990.1.1435,FN668055.1.1412,JN868729.1.1508,GU305778.1.1502,JX223906.1.1390,JF265791.1.1314,FN668275.1.1286,HM128951.1.1451,HM128604.1.1442,AB753878.1.1447,HM346768.1.1219,HQ115551.1.1213,DQ316373.1.1526,AY752098.1.1391,GU305795.1.1496,FN668188.1.1485,JN626666.1.1336,FR772074.1.1464,AB154307.1.1434,FM201052.1.1344,JN868756.1.1531,AY752119.1.1395,FN668148.1.1473,KC189643.1.1486,FM200864.1.1352,JX406245.1.1480,HM185888.1.1371,KM051660.1.1454,HM129033.1.1447,FR774633.1.1303,FN668062.1.1473,HM856448.1.1440,AY948005.1.1440,HM129128.1.1449,AY447040.1.1494,FN794266.1.1442,New.ReferenceOTU8,New.ReferenceOTU2,New.ReferenceOTU325,New.ReferenceOTU324,New.ReferenceOTU429,New.ReferenceOTU425,New.ReferenceOTU427,New.ReferenceOTU420,New.ReferenceOTU378,New.ReferenceOTU370,New.ReferenceOTU371,New.ReferenceOTU373,New.ReferenceOTU144,New.ReferenceOTU178,New.ReferenceOTU179,New.ReferenceOTU416,New.ReferenceOTU44,New.ReferenceOTU194,New.ReferenceOTU295,New.ReferenceOTU294,New.ReferenceOTU334,New.ReferenceOTU381,New.ReferenceOTU386,New.ReferenceOTU34,New.ReferenceOTU245,New.ReferenceOTU247,New.ReferenceOTU457,New.ReferenceOTU456,New.ReferenceOTU459,New.ReferenceOTU106,New.ReferenceOTU349,New.ReferenceOTU72,New.ReferenceOTU74,New.ReferenceOTU118,New.ReferenceOTU113,New.ReferenceOTU281,New.ReferenceOTU230,New.ReferenceOTU97,New.ReferenceOTU494,New.ReferenceOTU155,New.ReferenceOTU158,New.ReferenceOTU408,New.ReferenceOTU462,New.ReferenceOTU353,New.ReferenceOTU357,New.ReferenceOTU63,New.ReferenceOTU60,New.ReferenceOTU12,New.ReferenceOTU17,New.ReferenceOTU226,New.ReferenceOTU227,New.ReferenceOTU84,New.ReferenceOTU483,New.ReferenceOTU313,New.ReferenceOTU310,New.ReferenceOTU364,New.ReferenceOTU183,New.ReferenceOTU52,New.ReferenceOTU58,New.ReferenceOTU460,New.ReferenceOTU212,New.ReferenceOTU211,New.ReferenceOTU210,New.CleanUp.ReferenceOTU2558,New.CleanUp.ReferenceOTU6011,New.CleanUp.ReferenceOTU7427,New.CleanUp.ReferenceOTU15686,New.CleanUp.ReferenceOTU47925,New.CleanUp.ReferenceOTU51707,New.CleanUp.ReferenceOTU60660,New.CleanUp.ReferenceOTU66231,New.CleanUp.ReferenceOTU66429,New.CleanUp.ReferenceOTU72144,New.CleanUp.ReferenceOTU75781,New.CleanUp.ReferenceOTU77685,New.CleanUp.ReferenceOTU102019,New.CleanUp.ReferenceOTU103146,New.CleanUp.ReferenceOTU107667,New.CleanUp.ReferenceOTU121430,New.CleanUp.ReferenceOTU123418,New.CleanUp.ReferenceOTU131884,New.CleanUp.ReferenceOTU137586,New.CleanUp.ReferenceOTU155956
0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,48,0,6,0,2,0,0,1,0,2,1,1,0,0,0,2,0,1,1,0,14,1,1,0,29,0,1,0,0,0,48,1,10,0,6,0,0,0,4,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,12,5,0,0,16,0,1,9,1,0,2,32,0,0,3,3,2,43,0,5,1,0,0,8,0,0,5,0,0,1,5,0,0,1,0,2,3,0,0,0,2,0,0,0,0,8,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,2,1,0,0,1,0,2,0,4,61,1,0,10,0,2,0,3,0,0,4,0,0,7,0,0,1,0,0,0,0,1,55,13,0,8,5,0,0,0,0,1,1,0,1,1,2,15,19,1,0,1,0,0,9,0,0,2,0,0,0,0,0,3,0,1,0,0,0,2,76,8,0,0,51,0,51,0,6,0,1,1109,38,1,6,0,6,2,1,0,8,263,0,0,0,2,96,73,22,10,0,20,6,1,0,0,1,0,66,1,10,0,0,7,14,0,0,7,0,1,6,7,8,6,3,3,0,0,1,1,0,0,0,0,1,2,0,1,0,1,0,0,3,0,0,3,5,2,0,0,0,2,0,0,3,0
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,120,0,0,0,0,0,0,2,0,2,2,1,0,0,0,13,0,1,0,0,3,0,0,1,174,0,0,1,0,0,261,0,5,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,1,0,11,0,0,1,1,0,0,5,0,0,0,139,0,0,1,0,0,4,0,9,0,0,0,14,2,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,1,0,0,0,2,0,0,0,0,3,5,1,0,0,0,14,0,3,31,0,0,2,0,1,0,9,0,0,0,0,0,2,0,0,1,0,1,0,2,1,0,4,0,2,9,0,0,0,0,0,0,0,0,1,0,12,89,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,1,1,0,0,2,18,5,0,1,76,0,60,0,19,1,0,466,205,2,5,0,2,0,0,0,2,440,0,0,0,1,2,3,59,6,0,0,6,2,0,0,0,1,124,1,15,0,2,3,16,0,0,4,0,9,2,7,2,3,13,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,4,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,56,0,2,0,1,0,0,1,0,2,1,1,1,0,0,4,0,1,1,0,4,0,0,0,73,0,0,0,0,0,278,0,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,12,4,0,0,6,0,0,2,0,1,0,88,0,0,0,0,0,11,0,6,0,0,0,10,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,7,0,0,11,0,0,3,0,0,0,4,0,0,3,0,0,1,1,0,1,0,0,0,0,0,12,6,0,2,5,0,0,0,0,1,0,0,0,0,1,10,60,0,0,0,0,0,9,1,0,1,0,1,0,1,0,0,0,1,0,0,1,3,26,8,0,1,32,0,30,1,22,0,1,645,216,4,12,1,1,1,0,0,6,327,1,1,0,1,34,10,43,9,0,16,6,0,1,0,1,1,74,4,22,0,1,3,11,2,0,2,1,2,16,6,2,18,36,2,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,2,1,1,0,1,0,0,0,0,2,1
15,0,0,0,0,12,0,0,0,0,0,0,0,0,12,2,0,1,265,0,1,0,1,22,0,2,1,1,0,0,1,0,0,0,1,0,23,96,2,0,1,27,0,0,3,31,0,0,0,0,10,0,0,0,0,9,0,1,1,1,0,0,0,0,0,0,0,0,1,11,8,1,0,0,10,0,0,0,0,0,0,3,8,0,0,0,4,1,0,0,0,0,1,0,0,1,1,228,0,2,0,16,2,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,2,0,7,0,13,0,0,0,0,2,1,1,0,0,79,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,19,0,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,6,0,1,0,1,0,0,8,3,0,0,5,0,3,1,206,3,0,0,12,0,2,0,0,0,0,2,1,0,4,0,2,3,0,38,0,3,0,1,5,6,0,38,4,1,1,0,0,0,6,5,0,2,0,0,2,0,0,0,0,0,0,0,11,0,4,0,7,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,5,82,1,0,0,0,4,0,5,0,1,0,0,0,0,0,0,3,1,31,21,0,0,0,143,0,0,55,20,0,1,0,0,26,0,0,0,1,4,0,6,0,4,0,1,0,0,1,0,0,0,2,131,42,75,0,0,5,0,0,0,0,0,0,0,6,0,1,0,4,3,0,26,1,1,1,0,0,1,2,307,0,25,0,45,0,1,1,16,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,41,0,0,0,1,0,0,3,0,16,0,0,4,0,0,0,0,1,0,0,4,1,0,0,20,0,3,1,3,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,2,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,3,14,0,1,0,1,1,13,0,7,0,1,0,0,0,3,0,0,2,1,12,2,203,36,0,1,0,0,3,0,0,0,0,1,0,0,2,0,5,3,0,50,0,4,2,0,5,3,0,15,4,0,0,0,0,0,86,2,0,7,2,0,2,2,0,0,0,0,0,0,4,0,55,0,12,0,0,1,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,1,0,0,0,0,0,0,0,0,51,0,0,1,225,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,4,0,40,0,1,0,0,93,0,0,7,42,0,1,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,34,32,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,24,0,2,0,0,0,0,0,0,0,335,0,3,0,5,0,0,0,193,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,1,0,5,0,0,0,1,0,0,1,0,13,0,0,21,0,0,0,0,0,0,0,1,1,0,0,25,0,0,0,1,8,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,4,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,1,1,0,0,0,3,0,2,0,1,0,0,3,1,1,0,5,0,167,1,193,16,1,0,8,0,3,0,0,0,0,1,1,0,2,0,0,2,0,78,0,1,0,1,2,1,0,20,1,1,0,0,0,0,30,3,0,2,0,0,0,1,0,0,0,0,0,0,16,0,2,0,9,0,0,0,0,0,91,0,0,0,1,0,0,0,0,0,0,0,0
22,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,93,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,0,0,1,0,0,2,192,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,23,33,0,19,0,0,29,0,0,0,0,0,0,0,58,0,0,0,1,1,0,1,0,0,0,0,0,1,0,154,0,3,1,34,1,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,7,0,0,2,0,0,0,15,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,12,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,2,0,0,1,5,0,0,8,1,1,2,2,0,1,0,45,0,3,0,0,0,0,1,0,0,1,0,0,38,0,137,0,7,1,0,2,3,0,24,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,103,0,24,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,96,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2,20,1,1,0,0,98,0,0,1,73,0,1,0,1,1,0,1,2,0,2,0,3,0,0,0,0,0,0,0,0,0,1,15,6,26,6,0,0,2,0,0,0,0,0,0,1,32,0,0,0,1,0,0,10,0,1,0,0,0,0,0,313,0,9,0,12,0,1,0,763,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,12,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,10,0,0,0,0,0,9,0,0,2,0,0,0,2,2,1,0,7,2,0,0,128,61,0,0,12,0,5,0,0,0,0,0,1,0,1,0,0,1,0,140,0,0,0,0,0,2,0,8,3,0,0,1,0,0,64,2,1,3,0,0,1,0,0,0,0,0,0,0,26,0,6,1,13,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,100,1,21,0,0,36,0,1,0,2,0,0,1,0,0,0,1,0,16,0,1,0,0,25,0,0,4,33,0,0,0,0,0,0,0,0,0,49,0,2,0,1,0,0,0,0,1,0,0,0,1,17,9,0,0,0,1,0,0,0,0,0,1,0,8,0,0,0,0,1,0,2,0,0,1,0,0,0,1,497,0,5,0,0,0,0,1,870,0,0,0,1,39,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,58,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,0,34,136,0,0,4,0,0,6,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,3,1,0,0,0,0,8,0,0,1,0,0,1,2,2,2,1,7,0,1,1,57,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,36,0,1,1,1,2,3,0,10,23,1,1,1,0,0,1,0,1,2,0,0,1,0,0,1,0,0,0,1,9,0,4,0,15,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,159,1,0,0,0,7,0,0,0,1,0,0,2,0,0,0,0,0,0,21,3,0,0,14,0,0,0,60,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,12,28,4,11,0,0,17,0,0,0,0,0,0,0,23,0,0,0,1,0,0,1,0,0,1,0,0,0,0,73,0,4,1,3,0,1,0,1082,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,17,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,5,0,0,4,1,0,0,3,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,1,0,0,0,8,0,0,0,1,0,1,2,2,0,0,8,0,0,1,2,1,1,0,17,0,2,0,0,0,0,1,0,0,1,0,0,1,0,49,0,6,0,2,2,1,1,16,2,0,0,1,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,42,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
22,0,0,0,1,2,0,0,0,0,0,0,0,0,70,1,0,0,428,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,4,21,1,0,0,119,0,0,1,92,0,0,0,0,0,0,0,0,0,6,0,1,4,3,0,0,0,0,0,0,1,0,9,6,39,17,0,0,46,0,0,0,0,0,1,0,18,0,0,1,4,0,0,2,0,1,0,0,0,0,0,66,0,4,0,5,0,2,0,132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,82,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,7,0,0,5,1,0,1,4,0,0,2,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,4,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,14,0,1,0,0,0,16,0,0,0,0,0,2,5,2,1,0,8,0,0,0,6,6,1,0,8,0,2,0,0,0,0,1,0,0,3,0,0,3,0,58,0,19,0,1,3,3,0,26,1,0,0,0,0,0,2,1,0,9,0,0,2,0,0,0,0,0,0,1,47,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,19,1,0,0,0,10,0,0,0,1,0,0,0,0,0,0,1,1,5,9,2,0,1,34,0,1,33,42,0,0,1,0,0,0,0,0,0,5,0,0,4,8,1,0,0,0,1,0,0,0,12,44,8,132,0,0,27,0,2,0,0,0,0,0,20,0,0,0,1,0,1,5,0,0,1,0,0,0,5,300,0,10,1,139,0,0,0,72,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,13,0,0,2,1,0,1,1,0,0,0,0,1,0,0,0,3,0,9,0,0,0,0,0,0,1,4,0,0,6,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,2,0,2,0,0,0,12,0,4,0,0,0,1,0,2,1,0,5,1,1,1,51,24,0,0,30,0,5,0,0,0,0,2,1,0,0,0,0,2,0,83,1,18,0,0,0,5,0,2,2,2,0,1,1,0,14,2,0,9,1,0,2,0,0,0,0,0,0,1,32,1,37,0,14,0,1,0,0,0,32,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,413,5,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,0,0,1,4,0,816,0,0,28,0,1,1,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4,236,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1,0,0,7,1,0,11,0,0,0,0,0,7,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,1,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,23,2,0,0,0,0,0,0,6,104,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,11,94,1,4,0,0,0,17,4,0,1,0,0,1,0,0,1,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,18,0,2,1,0,1,12,0,0,7,0,0,1,0,0,2,0,0,0,0,0,1,71,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,1,4,0,0,0,0,0,0,1,0,3,0,1,0,0,0,3,0,1,0,0,11,53,0,0,1,0,0,0,0,0,0,0,71,0,0,1,0,0,1,0,0,0,8,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,3,1,0,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,12,197,1,0,7,0,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,11,0,0,1,1,0,4,2,2,0,2,0,0,0,1,1,1,0,15,1,0,1,0,0,2,2,0,1,18,3,0,1,0,2,11,0,0,0,0,0,12,1,0,1,0,0,1,5,0,1,29,0,1,0,20,0,173,1,36,0,0,0,3,0,1,3,1,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
9,2,0,0,0,26,0,0,0,0,0,0,0,1,0,13,0,0,2,1,32,0,0,6,1,1,0,5,1,0,2,14,0,1,11,0,0,0,5,0,1,5,0,0,63,1,0,0,0,0,1,0,0,0,0,112,1,0,0,0,1,0,0,0,1,0,1,1,1,8,0,22,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,35,0,4,1,0,0,0,1,2,1,0,0,1,3,0,1,0,1,2,2,0,1,7,1,1,0,0,0,0,0,1,0,1,94,2,0,0,0,1,1,0,0,0,0,1,0,3,0,1,0,1,0,1,1,70,437,0,0,7,0,0,14,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,28,1,0,15,1,0,0,1,0,1,0,0,0,1,2,0,0,0,4,1,0,3,0,2,0,29,1,1,130,0,1,1,6,1,0,0,2,0,0,41,1,1,1,12,2,0,2,1,44,2,0,1,0,6,0,0,1,0,2,0,0,0,0,2,1,0,0,0,145,1,3,5,4,0,13,55,1,0,2,1,0,1,1,2,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,8,0,0,0,1,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,165,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,50,7,2,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,1,12,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,1,19,0,0,3,0,0,1,27,0,0,0,0,2,0,0,0,1,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,2,4,0,0,0,7,0,0,15,1,1,0,0,26,0,1,0,0,6,0,1,0,0,1,0,0,2,0,0,3,0,3,0,1,1,0,0,4,0,1,2,0,0,0,0,0,137,0,4,2,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,10,0,0,0,1,0,0,0,0,1,13,0,0,0,0,14,1,0,6,0,0,0,2,2,0,1,0,0,0,2,1,0,0,4,0,0,0,0,0,62,0,0,1,0,0,0,0,0,0,0,142,1,0,1,32,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,35,0,1,1,0,0,1,0,1,0,175,0,1,0,1,0,0,0,0,0,0,4,0,1,1,0,14,0,0,0,0,1,1,0,0,0,1,1,0,0,0,66,0,1,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,1,0,0,49,323,0,0,6,0,0,17,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,21,0,0,0,0,0,0,33,0,0,2,0,0,0,0,3,0,0,11,1,2,0,1,0,3,0,1,0,3,0,0,0,0,1,1,1,0,1,0,1,1,0,1,160,2,2,4,6,0,1,53,1,1,0,0,0,1,0,1,32,0,0,10,0,0,2,0,2,0,1,2,1,1,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
